from_stop,to_stop,number_of_trips,average_trip_time
1800,2788,646,178.14241486068113
1802,5268,477,60.0
1803,7747,229,120.0
1804,1805,1112,60.0
1805,1806,1112,47.077338129496404
1806,1807,1112,42.922661870503596
1807,2389,1112,179.24460431654677
1900,2544,490,57.55102040816327
1901,2546,478,173.72384937238493
1902,2487,589,62.03735144312394
1903,1904,855,60.0
1904,1905,855,30.035087719298247
1905,2579,855,59.96491228070175
1906,1907,855,49.824561403508774
1907,1908,855,60.0
1908,1909,855,40.21052631578947
1909,7980,855,59.96491228070175
1913,1914,857,60.0
1914,1972,857,59.89498249708285
1917,1918,481,60.0
1918,1919,481,59.937629937629936
1919,1920,478,65.02092050209205
1919,1962,3,120.0
1920,1921,478,60.0
1921,1962,478,60.0
1925,1964,481,98.41995841995842
1926,1927,481,60.0
1927,2542,481,59.937629937629936
1928,1929,507,37.8698224852071
1929,1930,507,54.201183431952664
1930,1970,507,60.0
1931,9551,808,61.78217821782178
1932,4142,490,121.83673469387755
1933,1934,372,30.0
1934,1935,372,60.0
1935,3704,372,60.0
1936,1937,373,45.361930294906166
1937,1938,373,44.71849865951743
1938,1939,373,60.0
1939,1940,373,30.0
1940,9276,373,60.160857908847184
1941,2533,845,68.52071005917159
1942,1954,846,119.8581560283688
1943,1956,846,119.8581560283688
1944,1925,481,81.20582120582121
1945,1965,481,60.0
1946,1947,844,86.37440758293839
1947,2550,844,60.0
1948,1941,845,60.0
1949,1950,846,55.709219858156025
1950,1951,846,34.219858156028366
1951,1952,846,60.0
1952,1953,846,30.0
1953,1942,846,59.9290780141844
1954,2584,846,31.170212765957448
1955,2585,846,59.9290780141844
1956,7967,846,30.0
1957,1975,556,54.388489208633096
1958,2860,556,36.960431654676256
1959,1960,556,61.618705035971225
1960,4713,556,164.13669064748203
1962,1963,481,112.14137214137214
1963,1944,481,60.0
1964,2641,481,81.14345114345114
1965,1966,481,119.87525987525987
1966,1967,481,60.0
1967,1968,481,40.91476091476091
1968,1969,481,97.79625779625779
1969,1926,481,81.82952182952182
1970,2380,507,36.094674556213015
1972,1973,857,60.0
1973,2647,857,30.0
1974,1976,854,60.0
1975,1958,556,60.0
1976,2419,854,60.0
1977,9474,865,111.95375722543352
1978,3932,55,360.0
1980,9626,135,60.0
1981,1993,135,30.0
1982,1983,135,120.0
1983,1984,135,60.0
1984,1985,135,60.0
1985,1986,135,120.0
1986,1987,135,60.0
1987,1988,135,60.0
1988,1989,135,120.0
